CDS ID	Protein
AC3.2	UDP-glucuronosyltransferase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.5	glutamyl aminopeptidase
AC3.7	UDP-glucuronosyltransferase
AH9.1	transmembrane domain of family 1 of G-protein coupled receptors
B0024.14a CE31276	pro-collagen domains
B0024.14b CE31277	
B0024.14d CE31279	
B0034.3a	locus:cdh-11
B0034.3a	locus:cdh-11
B0034.3a	locus:cdh-11
B0244.8	LDL receptor
B0244.8	LDL receptor
B0273.4a	locus:unc-5 axon guidance protein
B0273.4a	locus:unc-5 axon guidance protein
B0273.4b	locus:unc-5 axon guidance protein
B0273.4b	locus:unc-5 axon guidance protein
B0280.12a CE31400	locus:glr-2 Glutamate receptor
B0280.12b CE33547	locus:glr-2
B0285.7	Aminopeptidase
B0285.7	Aminopeptidase
B0361.7	Acid phosphatase
B0361.7	Acid phosphatase
B0393.7	LDL receptor ligand-binding repeat bearing protein
B0393.7	LDL receptor ligand-binding repeat bearing protein
B0393.7	LDL receptor ligand-binding repeat bearing protein
B0393.7	LDL receptor ligand-binding repeat bearing protein
B0393.7	LDL receptor ligand-binding repeat bearing protein
B0393.7	LDL receptor ligand-binding repeat bearing protein
B0416.1	
B0416.1	
B0495.7	
B0495.7	
B0495.7	
B0495.7	
B0495.7	
B0563.2	locus:tsp-11 transpanin
B0563.2	locus:tsp-11 transpanin
B0563.2	locus:tsp-11 transpanin
C01B10.4	
C01B10.9	
C01B10.9	
C01B10.9	
C01B12.7	
C01G6.3	
C01G6.3	
C01G6.3	
C01G6.8a	locus:cam-1 protein tyrosine kinase receptor
C01G6.8a	locus:cam-1 protein tyrosine kinase receptor
C01G6.8a	locus:cam-1 protein tyrosine kinase receptor
C01G6.8b	locus:cam-1 protein tyrosine kinase receptor
C01G6.8b	locus:cam-1 protein tyrosine kinase receptor
C01G6.8b	locus:cam-1 protein tyrosine kinase receptor
C02B10.3	
C02B10.3	
C02B10.3	
C02B10.3	
