ID	Description	Protein Length	TMHMM Topology	Sequon Positions	List of Transmembrane Loops and Sequon Data	Avg-loop.i	Avg-loop.o	Avg-loop (glyco).i	Avg-loop (glyco).o	FirstDomain	LastDomain	FirstDomain.Length	FirstDomain.Out	FirstDomain.In	LastDomain.Length	LastDomain.Out	LastDomain.In	FirstDomain.Glyco.Length	FirstGlyco.Length.Out	FirstGlyco.Legnth.In	LastDomain.Glyco.Length	LastGlyco.Length.Out	LastGlyco.Length.In
IPI00621410	"Adult male testis cDNA, RIKEN full-length enriched library, clone:4931440N24 product:prominin, full insert sequence	858	o99-121i149-171o426-448i469-491o784-806i	NMS(264) 	o(1-99=99)/0 i(121-149=29)/0 o(171-426=256)/1 i(448-469=22)/0 o(491-784=294)/0 i(806-858=53)/0 	34.6667	216.333	0	256	o(1-99=99)	i(806-858=53)	99	99	0	53	0	53	0	0	0	0	0	0
IPI00120245	Integrin alpha-V	1044	o990-1012i	NVS(615) NTT(74) 	o(1-990=990)/2 i(1012-1044=33)/0 	33	990	0	990	o(1-990=990)	i(1012-1044=33)	990	990	0	33	0	33	990	990	0	0	0	0
IPI00469426	137 kDa protei	1350	o987-1009i	NST(379) NGT(310) NTT(650) NCT(780) NGS(549) 	o(1-987=987)/5 i(1009-1350=342)/0 	342	987	0	987	o(1-987=987)	i(1009-1350=342)	987	987	0	342	0	342	987	987	0	0	0	0
IPI00465769	Solute carrier family 12 member 	1115	o98-120i133-155o165-187i192-214o229-248i255-275o396-418i439-461o481-503i535-554o558-577i598-620o	NET(310) NVT(339) NAT(328) 	o(1-98=98)/0 i(120-133=14)/0 o(155-165=11)/0 i(187-192=6)/0 o(214-229=16)/0 i(248-255=8)/0 o(275-396=122)/3 i(418-439=22)/0 o(461-481=21)/0 i(503-535=33)/0 o(554-558=5)/0 i(577-598=22)/0 o(620-1115=0)/0 	17.5	39	0	122	o(1-98=98)	o(620-1115=0)	98	98	0	0	0	0	0	0	0	0	0	0
IPI00271927	"Adult male spleen cDNA, RIKEN full-length enriched library, clone:0910001F14 product:complement receptor 2, full insert sequence	1032	o975-997i	NGS(285) NCS(910) NKT(86) 	o(1-975=975)/3 i(997-1032=36)/0 	36	975	0	975	o(1-975=975)	i(997-1032=36)	975	975	0	36	0	36	975	975	0	0	0	0
IPI00648237	Itga3 protei	1022	o963-985i	NST(906) NRT(55) 	o(1-963=963)/2 i(985-1022=38)/0 	38	963	0	963	o(1-963=963)	i(985-1022=38)	963	963	0	38	0	38	963	963	0	0	0	0
IPI00136594	CD	1250	o962-984i	NYS(286) NKS(293) 	o(1-962=962)/2 i(984-1250=267)/0 	267	962	0	962	o(1-962=962)	i(984-1250=267)	962	962	0	267	0	267	962	962	0	0	0	0
IPI00406204	PREDICTED: G protein-coupled receptor 11	1286	o954-973i993-1015o1035-1057i1069-1091o1111-1133i1154-1176o1186-1208i	NET(168) NLT(101) NTS(64) 	o(1-954=954)/3 i(973-993=21)/0 o(1015-1035=21)/0 i(1057-1069=13)/0 o(1091-1111=21)/0 i(1133-1154=22)/0 o(1176-1186=11)/0 i(1208-1286=79)/0 	33.75	251.75	0	954	o(1-954=954)	i(1208-1286=79)	954	954	0	79	0	79	954	954	0	0	0	0
IPI00225405	"10 days lactation, adult female mammary gland cDNA, RIKEN full-length enriched library, clone:D730009J23 product:SODIUM/HYDROGEN EXCHANGER 4	797	o94-116i129-148o158-180i193-215o225-247i268-290o305-327i385-407o422-444i451-473o	NES(31) NPT(35) 	o(1-94=94)/2 i(116-129=14)/0 o(148-158=11)/0 i(180-193=14)/0 o(215-225=11)/0 i(247-268=22)/0 o(290-305=16)/0 i(327-385=59)/0 o(407-422=16)/0 i(444-451=8)/0 o(473-797=22)/0 	23.4	28.3333	0	94	o(1-94=94)	o(473-797=22)	94	94	0	22	22	0	0	0	0	0	0	0
IPI00120225	Insulin-like growth factor 1 receptor	1373	o937-959i	NST(314) NTT(748) 	o(1-937=937)/2 i(959-1373=415)/0 	415	937	0	937	o(1-937=937)	i(959-1373=415)	937	937	0	415	0	415	937	937	0	0	0	0
IPI00406609	Receptor-type tyrosine-protein phosphatase eta	1299	o894-916i	NGT(164) 	o(1-894=894)/1 i(916-1299=384)/0 	384	894	0	894	o(1-894=894)	i(916-1299=384)	894	894	0	384	0	384	894	894	0	0	0	0
IPI00341098	Calcium activated chloride channe	925	o890-912i	NFT(544) 	o(1-890=890)/1 i(912-925=14)/0 	14	890	0	890	o(1-890=890)	i(912-925=14)	890	890	0	14	0	14	890	890	0	0	0	0
IPI00651893	"Adult male cecum cDNA, RIKEN full-length enriched library, clone:9130019N24 product:similar to Calcium-activated chloride channel protein 2	925	o890-912i	NFT(544) 	o(1-890=890)/1 i(912-925=14)/0 	14	890	0	890	o(1-890=890)	i(912-925=14)	890	890	0	14	0	14	890	890	0	0	0	0
IPI00128454	Seizure related 6 homolo	923	o858-880i	NSS(247) 	o(1-858=858)/1 i(880-923=44)/0 	44	858	0	858	o(1-858=858)	i(880-923=44)	858	858	0	44	0	44	858	858	0	0	0	0
IPI00453778	"Mammary gland RCB-0526 Jyg-MC(A) cDNA, RIKEN full-length enriched library, clone:G830037C08 product:MEGF10 protein (Hypothetical protein KIAA1780) homolog	1147	o856-878i	NGT(678) 	o(1-856=856)/1 i(878-1147=270)/0 	270	856	0	856	o(1-856=856)	i(878-1147=270)	856	856	0	270	0	270	856	856	0	0	0	0
IPI00134013	Heme carrier protein 	459	o85-107i114-136o146-168i181-203o213-231i266-288o303-325i338-360o389-411i424-443o	NGT(58) 	o(1-85=85)/1 i(107-114=8)/0 o(136-146=11)/0 i(168-181=14)/0 o(203-213=11)/0 i(231-266=36)/0 o(288-303=16)/0 i(325-338=14)/0 o(360-389=30)/0 i(411-424=14)/0 o(443-459=22)/0 	17.2	29.1667	0	85	o(1-85=85)	o(443-459=22)	85	85	0	22	22	0	85	85	0	0	0	0
IPI00464151	"16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130073M18 product:UNKNOWN (PROTEIN FOR MGC:11927) homolog	1018	o845-867i	NSS(67) 	o(1-845=845)/1 i(867-1018=152)/0 	152	845	0	845	o(1-845=845)	i(867-1018=152)	845	845	0	152	0	152	845	845	0	0	0	0
IPI00119299	Splice Isoform 1 of Leukemia inhibitory factor receptor	1092	o830-852i	NFT(402) NST(675) NET(385) NMT(647) NMT(261) 	o(1-830=830)/5 i(852-1092=241)/0 	241	830	0	830	o(1-830=830)	i(852-1092=241)	830	830	0	241	0	241	830	830	0	0	0	0
IPI00154057	Protocadherin 	1038	o830-852i	NTS(698) 	o(1-830=830)/1 i(852-1038=187)/0 	187	830	0	830	o(1-830=830)	i(852-1038=187)	830	830	0	187	0	187	830	830	0	0	0	0
IPI00312063	Low-density lipoprotein receptor	864	o790-812i	NVT(273) 	o(1-790=790)/1 i(812-864=53)/0 	53	790	0	790	o(1-790=790)	i(812-864=53)	790	790	0	53	0	53	790	790	0	0	0	0
IPI00129960	Cadherin-16	830	o788-810i	NLS(519) 	o(1-788=788)/1 i(810-830=21)/0 	21	788	0	788	o(1-788=788)	i(810-830=21)	788	788	0	21	0	21	788	788	0	0	0	0
IPI00109213	Sodium/calcium exchanger 1	970	o75-93i131-153o168-187i200-218o233-255i794-816o831-853i873-892o902-924i945-967o	NET(41) 	o(1-75=75)/1 i(93-131=39)/0 o(153-168=16)/0 i(187-200=14)/0 o(218-233=16)/0 i(255-794=540)/0 o(816-831=16)/0 i(853-873=21)/0 o(892-902=11)/0 i(924-945=22)/0 o(967-970=13)/0 	127.2	24.5	0	75	o(1-75=75)	o(967-970=13)	75	75	0	13	13	0	0	0	0	0	0	0
IPI00420955	Sortilin 	825	o754-776i	NNT(160) 	o(1-754=754)/1 i(776-825=50)/0 	50	754	0	754	o(1-754=754)	i(776-825=50)	754	754	0	50	0	50	754	754	0	0	0	0
