IPI Accession	Length	TMHMM Topography	Length of the Transmembrane Loop(s)	FirstDomain	LastDomain	FirstDomain.Length	LastDomain.Length	Avg Domain.Out	Avg Domain.In
IPI00108535	521	o426-448i	o(1-426=426) i(448-521=74)	o(1-426=426)	i(448-521=74)	426	74	426	74
IPI00108764	374	o56-78i91-113o128-147i168-190o222-244i264-286o301-323i	o(1-56=56) i(78-91=14) o(113-128=16) i(147-168=22) o(190-222=33) i(244-264=21) o(286-301=16) i(323-374=52)	o(1-56=56)	i(323-374=52)	56	52	30	27
IPI00108844	278	o189-211i	o(1-189=189) i(211-278=68)	o(1-189=189)	i(211-278=68)	189	68	189	68
IPI00108849	337	i12-34o	i(1-12=12) o(34-337=12)	i(1-12=12)	o(34-337=304)	12	304	304	12
IPI00109213	970	o75-93i131-153o168-187i200-218o233-255i794-816o831-853i873-892o902-924i945-967o	o(1-75=75) i(93-131=39) o(153-168=16) i(187-200=14) o(218-233=16) i(255-794=540) o(816-831=16) i(853-873=21) o(892-902=11) i(924-945=22) o(967-970=0)	o(1-75=75)	o(967-970=4)	75	4	23	127
IPI00109375	530	o351-373i	o(1-351=351) i(373-530=158)	o(1-351=351)	i(373-530=158)	351	158	351	158
IPI00111013	410	i7-26o	i(1-7=7) o(26-410=7)	i(1-7=7)	o(26-410=385)	7	385	385	7
IPI00111163	477	o430-452i	o(1-430=430) i(452-477=26)	o(1-430=430)	i(452-477=26)	430	26	430	26
IPI00111366	175	o73-95i	o(1-73=73) i(95-175=81)	o(1-73=73)	i(95-175=81)	73	81	73	81
IPI00112326	160	i2-24o66-88i95-117o137-157i	i(1-2=2) o(24-66=43) i(88-95=8) o(117-137=21) i(157-160=4)	i(1-2=2)	i(157-160=4)	2	4	32	4
IPI00112614	2261	i25-47o639-661i681-703o718-740i745-767o777-797i818-840o1346-1368i1655-1677o1702-1724i1737-1759o1769-1791i1848-1870o	i(1-25=25) o(47-639=593) i(661-681=21) o(703-718=16) i(740-745=6) o(767-777=11) i(797-818=22) o(840-1346=507) i(1368-1655=288) o(1677-1702=26) i(1724-1737=14) o(1759-1769=11) i(1791-1848=58) o(1870-2261=58)	i(1-25=25)	o(1870-2261=392)	25	392	222	62
IPI00113057	638	i7-26o	i(1-7=7) o(26-638=7)	i(1-7=7)	o(26-638=613)	7	613	613	7
IPI00113310	222	o142-164i	o(1-142=142) i(164-222=59)	o(1-142=142)	i(164-222=59)	142	59	142	59
IPI00113350	347	o34-59i72-94o104-126i150-172o192-214i247-269o279-301i	o(1-34=34) i(59-72=14) o(94-104=11) i(126-150=25) o(172-192=21) i(214-247=34) o(269-279=11) i(301-347=47)	o(1-34=34)	i(301-347=47)	34	47	19	30
IPI00113411	539	i39-61o85-107i120-142o157-176i189-211o491-513i	i(1-39=39) o(61-85=25) i(107-120=14) o(142-157=16) i(176-189=14) o(211-491=281) i(513-539=27)	i(1-39=39)	i(513-539=27)	39	27	107	23
IPI00113726	3084	i5-22o	i(1-5=5) o(22-3084=5)	i(1-5=5)	o(22-3084=3063)	5	3063	3063	5
