ID	Description	Protein Length	TMHMM Topology	Loop Length Info	List of Sequons and Locations
B0244.8	LDL receptor	551	i47-69o	i(1-47=46)	NAT(529)/m 
B0273.4a	locus:unc-5 axon guidance protein	919	i338-360o	i(1-338=337)	NYT(178)/i 
B0273.4b	locus:unc-5 axon guidance protein	567	o339-361i	o(1-339=338)	NYT(178)/o 
B0285.7	Aminopeptidase	781	i16-38o	i(1-16=15)	NET(520)/m 
B0361.7	Acid phosphatase	422	o371-393i	o(1-371=370)	NET(323)/o 
B0416.1	no description	1203	i191-213o276-298i369-391o406-428i441-463o665-687i714-736o780-802i	i(1-191=190), o(213-276=63), i(298-369=71), o(391-406=15), i(428-441=13), o(463-665=202), i(687-714=27), o(736-780=44)	NKT(225)/o NQS(748)/o 
B0495.7	no description	895	i35-57o381-403i424-446o456-473i493-515o519-538i545-567o587-609i616-635o	i(1-35=34), o(57-381=324), i(403-424=21), o(446-456=10), i(473-493=20), o(515-519=4), i(538-545=7), o(567-587=20), i(609-616=7)	NRT(659)/m NCT(702)/m NLT(758)/m 
B0563.2	locus:tsp-11 transpanin	287	i21-43o82-104i111-133o255-277i	i(1-21=20), o(43-82=39), i(104-111=7), o(133-255=122)	NGT(156)/o NNS(197)/o 
C01B10.4	no description	580	o538-560i	o(1-538=537)	NCS(255)/o 
C01B10.9	no description	555	o446-468i	o(1-446=445)	NST(104)/o NGT(355)/o NSS(361)/o 
C01G6.8a	locus:cam-1 protein tyrosine kinase receptor	928	o467-489i	o(1-467=466)	NTT(120)/o NES(226)/o 
C01G6.8b	locus:cam-1 protein tyrosine kinase receptor	902	o441-463i	o(1-441=440)	NTT(94)/o NES(200)/o 
C02F5.13	no description	210	i139-161o176-198i	i(1-139=138), o(161-176=15)	NES(91)/i 
C03A3.2	no description	492	i12-34o49-71i116-138o173-195i207-225o240-262i275-297o323-345i393-412o417-439i467-489o	i(1-12=11), o(34-49=15), i(71-116=45), o(138-173=35), i(195-207=12), o(225-240=15), i(262-275=13), o(297-323=26), i(345-393=48), o(412-417=5), i(439-467=28)	NAS(151)/o 
C03E10.4	"locus:gly-20 UDP-GlcNAc:a-6-D- mannoside b1,2-N- acetylglucosaminyltransferase II"	487	i7-26o	i(1-7=6)	NES(67)/m 
C04E12.4	no description	609	i30-52o	i(1-30=29)	NGS(104)/m 
