IPI Accession	Length	TMHMM Topography	Length of the Transmembrane Loop(s)	FirstDomain	LastDomain	FirstDomain.Length	LastDomain.Length	Avg Domain.Out	Avg Domain.In
6R552	85	o39-61i	o(1-39=39) i(61-85=25)	o(1-39=39)	i(61-85=25)	39	25	39	25
AC3.1	355	o26-48i80-99o109-126i147-169o202-224i255-277o287-309i	o(1-26=26) i(48-80=33) o(99-109=11) i(126-147=22) o(169-202=34) i(224-255=32) o(277-287=11) i(309-355=47)	o(1-26=26)	i(309-355=47)	26	47	20	33
AC3.10	351	i21-43o58-80i198-215o239-261i	i(1-21=21) o(43-58=16) i(80-198=119) o(215-239=25) i(261-351=91)	i(1-21=21)	i(261-351=91)	21	91	20	77
AC3.2	525	o486-508i	o(1-486=486) i(508-525=18)	o(1-486=486)	i(508-525=18)	486	18	486	18
AC3.5a	1090	i80-102o	i(1-80=80) o(102-1090=80)	i(1-80=80)	o(102-1090=989)	80	989	989	80
AC3.6	325	i7-29o	i(1-7=7) o(29-325=7)	i(1-7=7)	o(29-325=297)	7	297	297	7
AC3.7	529	i5-27o496-518i	i(1-5=5) o(27-496=470) i(518-529=12)	i(1-5=5)	i(518-529=12)	5	12	470	8
AC3.8	531	i7-29o498-520i	i(1-7=7) o(29-498=470) i(520-531=12)	i(1-7=7)	i(520-531=12)	7	12	470	9
AC7.1a	395	o46-68i80-102o122-144i165-182o215-237i272-294o309-331i	o(1-46=46) i(68-80=13) o(102-122=21) i(144-165=22) o(182-215=34) i(237-272=36) o(294-309=16) i(331-395=65)	o(1-46=46)	i(331-395=65)	46	65	29	34
AC7.1b	386	o46-68i80-102o122-144i165-182o215-237i263-285o300-322i	o(1-46=46) i(68-80=13) o(102-122=21) i(144-165=22) o(182-215=34) i(237-263=27) o(285-300=16) i(322-386=65)	o(1-46=46)	i(322-386=65)	46	65	29	31
AH10.2	245	i7-24o171-193i	i(1-7=7) o(24-171=148) i(193-245=53)	i(1-7=7)	i(193-245=53)	7	53	148	30
