ID	Description	Protein Length	TMHMM Topology	Loop Length Info	List of Sequons and Locations
IPI00108535	Splice Isoform Long of Carcinoembryonic antigen-related cell adhesion molecule 1 	521	o426-448i	o(1-426=426) i(448-521=74)	NGS(104)/o NIT(317)/o NTT(333)/o 
IPI00108764	C-X-C chemokine receptor type 5	374	o56-78i91-113o128-147i168-190o222-244i264-286o301-323i	o(1-56=56) i(78-91=14) o(113-128=16) i(147-168=22) o(190-222=33) i(244-264=21) o(286-301=16) i(323-374=52)	NDS(198)/o 
IPI00108844	Cation-dependent mannose-6-phosphate receptor 	278	o189-211i	o(1-189=189) i(211-278=68)	NHS(84)/o NKS(95)/o 
IPI00108849	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase"	337	i12-34o	i(1-12=12) o(34-337=12)	NLS(109)/o 
IPI00109213	Sodium/calcium exchanger 1 	970	o75-93i131-153o168-187i200-218o233-255i794-816o831-853i873-892o902-924i945-967o	o(1-75=75) i(93-131=39) o(153-168=16) i(187-200=14) o(218-233=16) i(255-794=540) o(816-831=16) i(853-873=21) o(892-902=11) i(924-945=22) o(967-970=0)	NET(41)/o 
IPI00109375	Splice Isoform Beta of Poliovirus receptor related protein 2 	530	o351-373i	o(1-351=351) i(373-530=158)	NYT(128)/o NGT(138)/o NTT(315)/o 
IPI00111013	Cathepsin D 	410	i7-26o	i(1-7=7) o(26-410=7)	NVT(261)/o 
IPI00111163	Ectonucleotide pyrophosphatase/phosphodiesterase 5 	477	o430-452i	o(1-430=430) i(452-477=26)	NLT(292)/o 
IPI00111366	Splice Isoform 1 of Tumor necrosis factor receptor superfamily member 13C	175	o73-95i	o(1-73=73) i(95-175=81)	NQT(23)/o 
IPI00112326	Epithelial membrane protein 1	160	i2-24o66-88i95-117o137-157i	i(1-2=2) o(24-66=43) i(88-95=8) o(117-137=21) i(157-160=4)	NCT(43)/o 
IPI00112614	ATP-binding cassette sub-family A member 1	2261	i25-47o639-661i681-703o718-740i745-767o777-797i818-840o1346-1368i1655-1677o1702-1724i1737-1759o1769-1791i1848-1870o	i(1-25=25) o(47-639=593) i(661-681=21) o(703-718=16) i(740-745=6) o(767-777=11) i(797-818=22) o(840-1346=507) i(1368-1655=288) o(1677-1702=26) i(1724-1737=14) o(1759-1769=11) i(1791-1848=58) o(1870-2261=58)	NKS(98)/o 
IPI00113057	Plasma kallikrein 	638	i7-26o	i(1-7=7) o(26-638=7)	NYT(494)/o 
IPI00113310	"Adult pancreas islet cells cDNA, RIKEN full-length enriched library, clone:C820019D11 product:kidney-specific membrane protein, full insert sequence"	222	o142-164i	o(1-142=142) i(164-222=59)	NIT(76)/o 
IPI00113350	Cannabinoid receptor 2	347	o34-59i72-94o104-126i150-172o192-214i247-269o279-301i	o(1-34=34) i(59-72=14) o(94-104=11) i(126-150=25) o(172-192=21) i(214-247=34) o(269-279=11) i(301-347=47)	NGS(11)/o 
IPI00113411	Osteoblast differentiation promoting factor	539	i39-61o85-107i120-142o157-176i189-211o491-513i	i(1-39=39) o(61-85=25) i(107-120=14) o(142-157=16) i(176-189=14) o(211-491=281) i(513-539=27)	NQT(333)/o 
IPI00113726	Laminin alpha-1 chain 	3084	i5-22o	i(1-5=5) o(22-3084=5)	NVT(1812)/o NNT(562)/o NHS(1414)/o NFT(1718)/o NAT(1725)/o 
IPI00114063	Niemann-Pick C1-like protein 1 	1333	o283-305i348-370o633-655i668-687o697-719i740-762o772-794i848-870o1114-1133i1140-1162o1167-1186i1207-1229o1244-1266i	o(1-283=283) i(305-348=44) o(370-633=264) i(655-668=14) o(687-697=11) i(719-740=22) o(762-772=11) i(794-848=55) o(870-1114=245) i(1133-1140=8) o(1162-1167=6) i(1186-1207=22) o(1229-1244=16) i(1266-1333=68)	NDT(85)/o 
IPI00114274	Semaphorin-4D 	861	o733-755i	o(1-733=733) i(755-861=107)	NYT(379)/o 
