ID	Description	Protein Length	TMHMM Topology	Loop Length Info	List of Sequons and Locations
IPI00621410	"Adult male testis cDNA, RIKEN full-length enriched library, clone:4931440N24 product:prominin, full insert sequence	858	o99-121i149-171o426-448i469-491o784-806i	o(1-99=99) i(121-149=29) o(171-426=256) i(448-469=22) o(491-784=294) i(806-858=53)	NMS(264)/o 
IPI00120245	Integrin alpha-V	1044	o990-1012i	o(1-990=990) i(1012-1044=33)	NVS(615)/o NTT(74)/o 
IPI00469426	137 kDa protei	1350	o987-1009i	o(1-987=987) i(1009-1350=342)	NST(379)/o NGT(310)/o NTT(650)/o NCT(780)/o NGS(549)/o 
IPI00465769	Solute carrier family 12 member 	1115	o98-120i133-155o165-187i192-214o229-248i255-275o396-418i439-461o481-503i535-554o558-577i598-620o	o(1-98=98) i(120-133=14) o(155-165=11) i(187-192=6) o(214-229=16) i(248-255=8) o(275-396=122) i(418-439=22) o(461-481=21) i(503-535=33) o(554-558=5) i(577-598=22) o(620-1115=0)	NET(310)/o NVT(339)/o NAT(328)/o 
IPI00271927	"Adult male spleen cDNA, RIKEN full-length enriched library, clone:0910001F14 product:complement receptor 2, full insert sequence	1032	o975-997i	o(1-975=975) i(997-1032=36)	NGS(285)/o NCS(910)/o NKT(86)/o 
IPI00648237	Itga3 protei	1022	o963-985i	o(1-963=963) i(985-1022=38)	NST(906)/o NRT(55)/o 
IPI00136594	CD	1250	o962-984i	o(1-962=962) i(984-1250=267)	NYS(286)/o NKS(293)/o 
IPI00406204	PREDICTED: G protein-coupled receptor 11	1286	o954-973i993-1015o1035-1057i1069-1091o1111-1133i1154-1176o1186-1208i	o(1-954=954) i(973-993=21) o(1015-1035=21) i(1057-1069=13) o(1091-1111=21) i(1133-1154=22) o(1176-1186=11) i(1208-1286=79)	NET(168)/o NLT(101)/o NTS(64)/o 
IPI00225405	"10 days lactation, adult female mammary gland cDNA, RIKEN full-length enriched library, clone:D730009J23 product:SODIUM/HYDROGEN EXCHANGER 4	797	o94-116i129-148o158-180i193-215o225-247i268-290o305-327i385-407o422-444i451-473o	o(1-94=94) i(116-129=14) o(148-158=11) i(180-193=14) o(215-225=11) i(247-268=22) o(290-305=16) i(327-385=59) o(407-422=16) i(444-451=8) o(473-797=22)	NES(31)/o NPT(35)/o 
IPI00120225	Insulin-like growth factor 1 receptor	1373	o937-959i	o(1-937=937) i(959-1373=415)	NST(314)/o NTT(748)/o 
IPI00406609	Receptor-type tyrosine-protein phosphatase eta	1299	o894-916i	o(1-894=894) i(916-1299=384)	NGT(164)/o 
IPI00341098	Calcium activated chloride channe	925	o890-912i	o(1-890=890) i(912-925=14)	NFT(544)/o 
IPI00651893	"Adult male cecum cDNA, RIKEN full-length enriched library, clone:9130019N24 product:similar to Calcium-activated chloride channel protein 2	925	o890-912i	o(1-890=890) i(912-925=14)	NFT(544)/o 
IPI00128454	Seizure related 6 homolo	923	o858-880i	o(1-858=858) i(880-923=44)	NSS(247)/o 
IPI00453778	"Mammary gland RCB-0526 Jyg-MC(A) cDNA, RIKEN full-length enriched library, clone:G830037C08 product:MEGF10 protein (Hypothetical protein KIAA1780) homolog	1147	o856-878i	o(1-856=856) i(878-1147=270)	NGT(678)/o 
IPI00134013	Heme carrier protein 	459	o85-107i114-136o146-168i181-203o213-231i266-288o303-325i338-360o389-411i424-443o	o(1-85=85) i(107-114=8) o(136-146=11) i(168-181=14) o(203-213=11) i(231-266=36) o(288-303=16) i(325-338=14) o(360-389=30) i(411-424=14) o(443-459=22)	NGT(58)/o 
IPI00464151	"16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130073M18 product:UNKNOWN (PROTEIN FOR MGC:11927) homolog	1018	o845-867i	o(1-845=845) i(867-1018=152)	NSS(67)/o 
IPI00119299	Splice Isoform 1 of Leukemia inhibitory factor receptor	1092	o830-852i	o(1-830=830) i(852-1092=241)	NFT(402)/o NST(675)/o NET(385)/o NMT(647)/o NMT(261)/o 
IPI00154057	Protocadherin 	1038	o830-852i	o(1-830=830) i(852-1038=187)	NTS(698)/o 
IPI00312063	Low-density lipoprotein receptor	864	o790-812i	o(1-790=790) i(812-864=53)	NVT(273)/o 
