IPI	Description	Protein Length	TMHMM Topology	List of Transmembrane Loops and Sequon Data	Avg-loop.i	Avg-loop.o
IPI00989771	TREMBL B2RQF5 Q3UV20	1025	o999-1021i	o(1-999=998)/1 i(1021-1025=4)/0 	4	998
IPI00469392	SWISS-PROT Q99P72-2	1162	o996-1018i1096-1118o	o(1-996=995)/1 i(1018-1096=78)/0 o(1118-1162=44)/0 	78	519.5
IPI00177211	SWISS-PROT Q80XH2-2	1134	o996-1018i	o(1-996=995)/1 i(1018-1134=116)/0 	116	995
IPI00331290	SWISS-PROT Q8C5W0-4	1021	o996-1013i	o(1-996=995)/1 i(1013-1021=8)/0 	8	995
IPI00118044	SWISS-PROT Q99N32-1	1043	o995-1017i	o(1-995=994)/1 i(1017-1043=26)/0 	26	994
IPI00415773	SWISS-PROT P05555-2	1036	o994-1016i	o(1-994=993)/1 i(1016-1036=20)/0 	20	993
IPI00340105	SWISS-PROT P60755	1018	o992-1014i	o(1-992=991)/1 i(1014-1018=4)/0 	4	991
IPI00621410	SWISS-PROT O54990-2	858	o99-121i149-171o426-448i469-491o784-806i	o(1-99=98)/1 i(121-149=28)/0 o(171-426=255)/0 i(448-469=21)/0 o(491-784=293)/0 i(806-858=52)/0 	33.6667	215.333
IPI00626454	ENSEMBL ENSMUSP00000084709	834	o99-121i149-171o426-448i469-491o784-806i	o(1-99=98)/1 i(121-149=28)/0 o(171-426=255)/0 i(448-469=21)/0 o(491-784=293)/0 i(806-834=28)/0 	25.6667	215.333
IPI00944056	SWISS-PROT O54990-6	827	o99-121i149-171o426-448i469-491o784-806i	o(1-99=98)/1 i(121-149=28)/0 o(171-426=255)/0 i(448-469=21)/0 o(491-784=293)/0 i(806-827=21)/0 	23.3333	215.333
IPI00944173	REFSEQ NP_001157055	823	o99-121i149-171o426-448i469-491o784-806i	o(1-99=98)/1 i(121-149=28)/0 o(171-426=255)/0 i(448-469=21)/0 o(491-784=293)/0 i(806-823=17)/0 	22	215.333
IPI00971282	SWISS-PROT O54990-3	834	o99-121i149-171o426-448i469-491o784-806i	o(1-99=98)/1 i(121-149=28)/0 o(171-426=255)/0 i(448-469=21)/0 o(491-784=293)/0 i(806-834=28)/0 	25.6667	215.333
IPI00403763	TREMBL Q8C3K1	809	o99-121i149-171o401-423i444-466o759-781i	o(1-99=98)/1 i(121-149=28)/0 o(171-401=230)/0 i(423-444=21)/0 o(466-759=293)/0 i(781-809=28)/0 	25.6667	207
IPI00971271	SWISS-PROT O54990-5	809	o99-121i149-171o401-423i444-466o759-781i	o(1-99=98)/1 i(121-149=28)/0 o(171-401=230)/0 i(423-444=21)/0 o(466-759=293)/0 i(781-809=28)/0 	25.6667	207
IPI00113145	TREMBL Q3UG79 Q9CZU9	139	o99-121i	o(1-99=98)/1 i(121-139=18)/0 	18	98
IPI00462518	TREMBL Q6NSP8	136	o99-121i	o(1-99=98)/1 i(121-136=15)/0 	15	98
IPI00224704	TREMBL Q3TPK5	191	o99-116i	o(1-99=98)/1 i(116-191=75)/0 	75	98
IPI00985800	TREMBL Q8C2M7	191	o99-116i	o(1-99=98)/1 i(116-191=75)/0 	75	98
IPI00120245	SWISS-PROT P43406	1044	o990-1012i	o(1-990=989)/1 i(1012-1044=32)/0 	32	989
IPI00315155	SWISS-PROT Q9QUM0	1033	o990-1012i	o(1-990=989)/1 i(1012-1033=21)/0 	21	989
IPI00623897	SWISS-PROT Q68FD9	1940	o987-1009i1288-1310o	o(1-987=986)/1 i(1009-1288=279)/0 o(1310-1940=630)/0 	279	808
IPI00469426	SWISS-PROT Q64455	1350	o987-1009i	o(1-987=986)/1 i(1009-1350=341)/0 	341	986
IPI00886180	TREMBL D3YTL2	1129	o986-1008i	o(1-986=985)/1 i(1008-1129=121)/0 	121	985
IPI00121334	SWISS-PROT Q00651	1039	o985-1007i	o(1-985=984)/1 i(1007-1039=32)/0 	32	984
IPI01007821	TREMBL E9QK91 Q6NV53	1038	o984-1006i	o(1-984=983)/1 i(1006-1038=32)/0 	32	983
IPI00653739	TREMBL Q3TMR9	307	o98-120i133-155o192-214i227-249o	o(1-98=97)/1 i(120-133=13)/0 o(155-192=37)/0 i(214-227=13)/0 o(249-307=58)/0 	13	64
IPI00465769	SWISS-PROT Q91V14-2	1115	o98-120i133-155o165-187i192-214o229-248i255-275o396-418i439-461o481-503i535-554o558-577i598-620o	o(1-98=97)/1 i(120-133=13)/0 o(155-165=10)/0 i(187-192=5)/0 o(214-229=15)/0 i(248-255=7)/0 o(275-396=121)/0 i(418-439=21)/0 o(461-481=20)/0 i(503-535=32)/0 o(554-558=4)/0 i(577-598=21)/0 o(620-1115=495)/0 	16.5	108.857
IPI00135394	TREMBL Q14CG6 Q3V3A3 Q3V3L5 Q9D359	455	o98-120i132-154o169-191i212-231o265-287i318-340o350-372i	o(1-98=97)/1 i(120-132=12)/0 o(154-169=15)/0 i(191-212=21)/0 o(231-265=34)/0 i(287-318=31)/0 o(340-350=10)/0 i(372-455=83)/0 	36.75	39
IPI00137996	SWISS-PROT P48030	159	o98-120i	o(1-98=97)/1 i(120-159=39)/0 	39	97
IPI00406836	TREMBL Q8CAQ0	134	o98-120i	o(1-98=97)/1 i(120-134=14)/0 	14	97
IPI00648374	SWISS-PROT Q3KQJ0	245	o98-117i122-144o159-178i185-204o214-236i	o(1-98=97)/1 i(117-122=5)/0 o(144-159=15)/0 i(178-185=7)/0 o(204-214=10)/0 i(236-245=9)/0 	7	40.6667
IPI00654316	TREMBL Q3UQG2	122	o98-115i	o(1-98=97)/1 i(115-122=7)/0 	7	97
IPI00421244	TREMBL Q3U0V9 Q3U1F2 Q61989 Q78E20 Q792F9 Q8BQ25	1032	o978-1000i	o(1-978=977)/1 i(1000-1032=32)/0 	32	977
IPI00890232	SWISS-PROT Q60519-1	1093	o977-999i	o(1-977=976)/1 i(999-1093=94)/0 	94	976
IPI00459266	SWISS-PROT Q60519-2	1072	o976-998i	o(1-976=975)/1 i(998-1072=74)/0 	74	975
IPI01007626	TREMBL E9QPI6	1021	o976-998i	o(1-976=975)/1 i(998-1021=23)/0 	23	975
IPI00271927	SWISS-PROT P19070	1032	o975-997i	o(1-975=974)/1 i(997-1032=35)/0 	35	974
IPI00403334	SWISS-PROT Q8VIG0-3	1022	o972-994i	o(1-972=971)/1 i(994-1022=28)/0 	28	971
IPI00816983	SWISS-PROT Q62217	1078	o972-994i	o(1-972=971)/1 i(994-1078=84)/0 	84	971
IPI00848773	SWISS-PROT A8E0Y8	1033	o971-993i	o(1-971=970)/1 i(993-1033=40)/0 	40	970
IPI00875846	TREMBL Q3UPZ0	1074	o971-993i	o(1-971=970)/1 i(993-1074=81)/0 	81	970
IPI01016093	VEGA OTTMUSP00000014091	1033	o971-993i	o(1-971=970)/1 i(993-1033=40)/0 	40	970
IPI00222354	SWISS-PROT Q8BJA2	512	o97-119i181-203o218-240i256-278o283-305i314-336o346-365i410-427o437-459i480-502o	o(1-97=96)/1 i(119-181=62)/0 o(203-218=15)/0 i(240-256=16)/0 o(278-283=5)/0 i(305-314=9)/0 o(336-346=10)/0 i(365-410=45)/0 o(427-437=10)/0 i(459-480=21)/0 o(502-512=10)/0 	30.6	24.3333
IPI00225739	SWISS-PROT Q8C581	172	o97-119i140-162o	o(1-97=96)/1 i(119-140=21)/0 o(162-172=10)/0 	21	53
IPI00857763	TREMBL D3Z191	186	o97-119i	o(1-97=96)/1 i(119-186=67)/0 	67	96
IPI00654173	TREMBL Q3V241	123	o97-116i	o(1-97=96)/1 i(116-123=7)/0 	7	96
IPI00761439	SWISS-PROT Q62442-2	117	o97-114i	o(1-97=96)/1 i(114-117=3)/0 	3	96
IPI01016197	TREMBL D3YTU0	171	o97-114i	o(1-97=96)/1 i(114-171=57)/0 	57	96
IPI00756501	ENSEMBL ENSMUSP00000126027	1029	o967-989i	o(1-967=966)/1 i(989-1029=40)/0 	40	966
IPI00124582	SWISS-PROT Q5SZV5	1081	o965-987i	o(1-965=964)/1 i(987-1081=94)/0 	94	964
IPI00648237	SWISS-PROT Q62470-3	1022	o963-985i	o(1-963=962)/1 i(985-1022=37)/0 	37	962
IPI00895329	SWISS-PROT Q6ZQ29-1	1240	o962-984i991-1013o1017-1039i1052-1074o	o(1-962=961)/1 i(984-991=7)/0 o(1013-1017=4)/0 i(1039-1052=13)/0 o(1074-1240=166)/0 	10	377
IPI00136594	SWISS-PROT Q32MD9	1250	o962-984i	o(1-962=961)/1 i(984-1250=266)/0 	266	961
IPI00311127	SWISS-PROT Q62190	1378	o961-983i	o(1-961=960)/1 i(983-1378=395)/0 	395	960
IPI00315758	SWISS-PROT P49282-1	568	o96-118i180-199o209-228i296-318o360-382i412-429o444-466i473-495o505-527i	o(1-96=95)/1 i(118-180=62)/0 o(199-209=10)/0 i(228-296=68)/0 o(318-360=42)/0 i(382-412=30)/0 o(429-444=15)/0 i(466-473=7)/0 o(495-505=10)/0 i(527-568=41)/0 	41.6	34.4
IPI00379015	SWISS-PROT P49282-2	561	o96-118i180-199o209-228i296-318o360-382i412-429o444-466i473-495o505-527i	o(1-96=95)/1 i(118-180=62)/0 o(199-209=10)/0 i(228-296=68)/0 o(318-360=42)/0 i(382-412=30)/0 o(429-444=15)/0 i(466-473=7)/0 o(495-505=10)/0 i(527-561=34)/0 	40.2	34.4
IPI00229605	SWISS-PROT P98191	461	o96-118i139-158o185-202i209-231o241-263i276-298o352-374i	o(1-96=95)/1 i(118-139=21)/0 o(158-185=27)/0 i(202-209=7)/0 o(231-241=10)/0 i(263-276=13)/0 o(298-352=54)/0 i(374-461=87)/0 	32	46.5
IPI00856754	TREMBL D3Z7E8	123	o96-118i	o(1-96=95)/1 i(118-123=5)/0 	5	95
IPI00856891	TREMBL D3Z7E7	141	o96-118i	o(1-96=95)/1 i(118-141=23)/0 	23	95
IPI00880942	TREMBL F6RM34	240	o96-118i	o(1-96=95)/1 i(118-240=122)/0 	122	95
IPI00919229	TREMBL D3Z314	170	o96-118i	o(1-96=95)/1 i(118-170=52)/0 	52	95
IPI00752080	TREMBL A2AKI5 Q3U4C8 Q80Y67	1008	o954-976i	o(1-954=953)/1 i(976-1008=32)/0 	32	953
IPI00406204	TREMBL E9Q6Z1 Q69ZZ8 Q8BZJ9	1286	o954-973i993-1015o1035-1057i1069-1091o1111-1133i1154-1176o1186-1208i	o(1-954=953)/1 i(973-993=20)/0 o(1015-1035=20)/0 i(1057-1069=12)/0 o(1091-1111=20)/0 i(1133-1154=21)/0 o(1176-1186=10)/0 i(1208-1286=78)/0 	32.75	250.75
IPI00403813	SWISS-PROT Q9D176-2	257	o95-117i	o(1-95=94)/1 i(117-257=140)/0 	140	94
IPI00458324	SWISS-PROT Q3UPR0	238	o95-117i	o(1-95=94)/1 i(117-238=121)/0 	121	94
IPI00674255	SWISS-PROT Q9QZC2	1574	o950-972i1092-1114o	o(1-950=949)/1 i(972-1092=120)/0 o(1114-1574=460)/0 	120	704.5
IPI00406450	TREMBL E9Q440 Q6DFX1 Q6GQS6 Q8BRS4	1082	o949-971i	o(1-949=948)/1 i(971-1082=111)/0 	111	948
IPI00411157	SWISS-PROT Q80TS3-3	1580	o948-970i983-1000o1015-1037i1050-1069o1089-1111i1143-1165o1170-1192i	o(1-948=947)/1 i(970-983=13)/0 o(1000-1015=15)/0 i(1037-1050=13)/0 o(1069-1089=20)/0 i(1111-1143=32)/0 o(1165-1170=5)/0 i(1192-1580=388)/0 	111.5	246.75
IPI00619988	SWISS-PROT Q80TS3-1	1550	o948-970i983-1000o1015-1037i1050-1069o1089-1111i1143-1165o1170-1192i	o(1-948=947)/1 i(970-983=13)/0 o(1000-1015=15)/0 i(1037-1050=13)/0 o(1069-1089=20)/0 i(1111-1143=32)/0 o(1165-1170=5)/0 i(1192-1550=358)/0 	104	246.75
IPI00880421	TREMBL D3Z3X6	1308	o948-970i983-1000o1015-1037i1050-1069o1089-1111i1143-1165o1170-1192i	o(1-948=947)/1 i(970-983=13)/0 o(1000-1015=15)/0 i(1037-1050=13)/0 o(1069-1089=20)/0 i(1111-1143=32)/0 o(1165-1170=5)/0 i(1192-1308=116)/0 	43.5	246.75
IPI00881714	TREMBL D3Z6H7	1351	o948-970i983-1000o1015-1037i1050-1069o1089-1111i1143-1165o1170-1192i	o(1-948=947)/1 i(970-983=13)/0 o(1000-1015=15)/0 i(1037-1050=13)/0 o(1069-1089=20)/0 i(1111-1143=32)/0 o(1165-1170=5)/0 i(1192-1351=159)/0 	54.25	246.75
IPI00411158	SWISS-PROT Q80TS3-2	1342	o948-970i983-1000o1015-1037i1050-1069o1089-1111i1131-1153o1163-1185i	o(1-948=947)/1 i(970-983=13)/0 o(1000-1015=15)/0 i(1037-1050=13)/0 o(1069-1089=20)/0 i(1111-1131=20)/0 o(1153-1163=10)/0 i(1185-1342=157)/0 	50.75	248
IPI00816961	SWISS-PROT Q80TS3-5	1528	o948-970i983-1000o1015-1037i1050-1069o1089-1111i1131-1153o1163-1185i	o(1-948=947)/1 i(970-983=13)/0 o(1000-1015=15)/0 i(1037-1050=13)/0 o(1069-1089=20)/0 i(1111-1131=20)/0 o(1153-1163=10)/0 i(1185-1528=343)/0 	97.25	248
IPI00816975	SWISS-PROT Q80TS3-6	1299	o948-970i983-1000o1015-1037i1050-1069o1089-1111i1131-1153o1163-1185i	o(1-948=947)/1 i(970-983=13)/0 o(1000-1015=15)/0 i(1037-1050=13)/0 o(1069-1089=20)/0 i(1111-1131=20)/0 o(1153-1163=10)/0 i(1185-1299=114)/0 	40	248
IPI00880426	TREMBL D3YTW7	1534	o948-970i983-1000o1015-1037i1050-1069o1089-1111i1131-1153o1163-1185i	o(1-948=947)/1 i(970-983=13)/0 o(1000-1015=15)/0 i(1037-1050=13)/0 o(1069-1089=20)/0 i(1111-1131=20)/0 o(1153-1163=10)/0 i(1185-1534=349)/0 	98.75	248
IPI00881222	TREMBL D3Z4S7	1571	o948-970i983-1000o1015-1037i1050-1069o1089-1111i1131-1153o1163-1185i	o(1-948=947)/1 i(970-983=13)/0 o(1000-1015=15)/0 i(1037-1050=13)/0 o(1069-1089=20)/0 i(1111-1131=20)/0 o(1153-1163=10)/0 i(1185-1571=386)/0 	108	248
IPI00222414	SWISS-PROT Q2EY15	1191	o943-965i	o(1-943=942)/1 i(965-1191=226)/0 	226	942
IPI00944196	SWISS-PROT O54990-4	804	o94-116i144-166o396-418i439-461o754-776i	o(1-94=93)/1 i(116-144=28)/0 o(166-396=230)/0 i(418-439=21)/0 o(461-754=293)/0 i(776-804=28)/0 	25.6667	205.333
IPI00225405	SWISS-PROT Q8BUE1	797	o94-116i129-148o158-180i193-215o225-247i268-290o305-327i385-407o422-444i451-473o	o(1-94=93)/1 i(116-129=13)/0 o(148-158=10)/0 i(180-193=13)/0 o(215-225=10)/0 i(247-268=21)/0 o(290-305=15)/0 i(327-385=58)/0 o(407-422=15)/0 i(444-451=7)/0 o(473-797=324)/0 	22.4	77.8333
