IPI Accession	Length	TMHMM Topography	Length of the Transmembrane Loop(s)	FirstDomain	LastDomain	FirstDomain.Length	LastDomain.Length	Avg Domain.Out	Avg Domain.In
IPI00989771	1025	o999-1021i	o(1-999=999) i(1021-1025=5)	o(1-999=999)	i(1021-1025=5)	999	5	999	5
IPI00469392	1162	o996-1018i1096-1118o	o(1-996=996) i(1018-1096=79) o(1118-1162=0)	o(1-996=996)	o(1118-1162=45)	996	45	520	79
IPI00177211	1134	o996-1018i	o(1-996=996) i(1018-1134=117)	o(1-996=996)	i(1018-1134=117)	996	117	996	117
IPI00331290	1021	o996-1013i	o(1-996=996) i(1013-1021=9)	o(1-996=996)	i(1013-1021=9)	996	9	996	9
IPI00118044	1043	o995-1017i	o(1-995=995) i(1017-1043=27)	o(1-995=995)	i(1017-1043=27)	995	27	995	27
IPI00415773	1036	o994-1016i	o(1-994=994) i(1016-1036=21)	o(1-994=994)	i(1016-1036=21)	994	21	994	21
IPI00340105	1018	o992-1014i	o(1-992=992) i(1014-1018=5)	o(1-992=992)	i(1014-1018=5)	992	5	992	5
IPI00621410	858	o99-121i149-171o426-448i469-491o784-806i	o(1-99=99) i(121-149=29) o(171-426=256) i(448-469=22) o(491-784=294) i(806-858=53)	o(1-99=99)	i(806-858=53)	99	53	216	34
IPI00626454	834	o99-121i149-171o426-448i469-491o784-806i	o(1-99=99) i(121-149=29) o(171-426=256) i(448-469=22) o(491-784=294) i(806-834=29)	o(1-99=99)	i(806-834=29)	99	29	216	26
IPI00944056	827	o99-121i149-171o426-448i469-491o784-806i	o(1-99=99) i(121-149=29) o(171-426=256) i(448-469=22) o(491-784=294) i(806-827=22)	o(1-99=99)	i(806-827=22)	99	22	216	24
IPI00944173	823	o99-121i149-171o426-448i469-491o784-806i	o(1-99=99) i(121-149=29) o(171-426=256) i(448-469=22) o(491-784=294) i(806-823=18)	o(1-99=99)	i(806-823=18)	99	18	216	23
IPI00971282	834	o99-121i149-171o426-448i469-491o784-806i	o(1-99=99) i(121-149=29) o(171-426=256) i(448-469=22) o(491-784=294) i(806-834=29)	o(1-99=99)	i(806-834=29)	99	29	216	26
