ID	Description	Protein Length	TMHMM Topology	Loop Length Info	List of Sequons and Locations
Q9UMS5	PHTF1_HUMAN Putative homeodomain transcription factor 1 OS=Homo sapiens GN=PHTF1 PE=2 SV=2	762	i101-123o128-150i474-493o513-535i611-633o648-665i	i(1-101=101) o(123-128=6) i(150-474=325) o(493-513=21) i(535-611=77) o(633-648=16) i(665-762=98)	NIS(124)/o NNS(179)/i NSS(180)/i NMS(363)/i NSS(431)/i NVS(674)/i NIT(733)/i 
Q9H300	PARL_HUMAN Presenilins-associated rhomboid-like protein, mitochondrial OS=Homo sapiens GN=PARL PE=1 SV=2	379	i102-121o168-187i208-230o245-262i296-318o333-354i	i(1-102=102) o(121-168=48) i(187-208=22) o(230-245=16) i(262-296=35) o(318-333=16) i(354-379=26)	NLS(161)/o 
Q8IYD8	FANCM_HUMAN Fanconi anemia group M protein OS=Homo sapiens GN=FANCM PE=1 SV=2	2048	i102-124o	i(1-102=102) o(124-2048=102)	NLT(328)/o NTT(468)/o NQS(599)/o NES(799)/o NST(883)/o NKS(931)/o NIS(1073)/o NNS(1186)/o NFT(1288)/o NST(1378)/o NES(1415)/o NRS(1461)/o NDS(1557)/o NKS(1968)/o NIS(1981)/o NSS(2002)/o 
A0PK00	T120B_HUMAN Transmembrane protein 120B OS=Homo sapiens GN=TMEM120B PE=2 SV=1	339	i102-124o134-152i159-178o188-210i268-290o305-327i	i(1-102=102) o(124-134=11) i(152-159=8) o(178-188=11) i(210-268=59) o(290-305=16) i(327-339=13)	NVT(113)/m NGS(181)/o 
P48067	SC6A9_HUMAN Sodium- and chloride-dependent glycine transporter 1 OS=Homo sapiens GN=SLC6A9 PE=2 SV=3	706	i102-124o134-156i187-209o286-308i315-337o364-386i399-421o448-470i499-521o531-553i574-593o608-630i	i(1-102=102) o(124-134=11) i(156-187=32) o(209-286=78) i(308-315=8) o(337-364=28) i(386-399=14) o(421-448=28) i(470-499=30) o(521-531=11) i(553-574=22) o(593-608=16) i(630-706=77)	NLT(237)/o NGS(240)/o NLS(250)/o NHS(256)/o NAT(646)/i NGS(696)/i 
Q9NP85	PODO_HUMAN Podocin OS=Homo sapiens GN=NPHS2 PE=1 SV=1	383	i103-125o	i(1-103=103) o(125-383=103)	NAS(199)/o NRT(355)/o 
Q8TEB9	RHBL4_HUMAN Rhomboid-related protein 4 OS=Homo sapiens GN=RHBDD1 PE=1 SV=1	315	i103-125o181-203i	i(1-103=103) o(125-181=57) i(203-315=113)	NSS(235)/i 
Q9HAS3	S28A3_HUMAN Solute carrier family 28 member 3 OS=Homo sapiens GN=SLC28A3 PE=1 SV=1	691	i104-123o128-147i168-190o200-217i224-246o283-305i318-340o360-382i442-464o479-501i554-576o591-613i	i(1-104=104) o(123-128=6) i(147-168=22) o(190-200=11) i(217-224=8) o(246-283=38) i(305-318=14) o(340-360=21) i(382-442=61) o(464-479=16) i(501-554=54) o(576-591=16) i(613-691=79)	NTS(30)/i NNS(34)/i NST(630)/i NTT(636)/i NHS(664)/i 
A2RU67	K1467_HUMAN Uncharacterized protein KIAA1467 OS=Homo sapiens GN=KIAA1467 PE=1 SV=1	622	i104-126o	i(1-104=104) o(126-622=104)	NGS(173)/o NGS(193)/o NAT(237)/o NGT(254)/o NLS(372)/o NCS(396)/o NLT(415)/o NTT(538)/o 
Q8TBE7	S35G2_HUMAN Solute carrier family 35 member G2 OS=Homo sapiens GN=SLC35G2 PE=1 SV=3	412	i104-126o136-155i168-190o195-214i219-241o256-278i285-307o317-339i346-368o372-394i	i(1-104=104) o(126-136=11) i(155-168=14) o(190-195=6) i(214-219=6) o(241-256=16) i(278-285=8) o(307-317=11) i(339-346=8) o(368-372=5) i(394-412=19)	NGT(193)/o 
P23634	AT2B4_HUMAN Plasma membrane calcium-transporting ATPase 4 OS=Homo sapiens GN=ATP2B4 PE=1 SV=2	1241	i104-126o146-168i367-389o409-431i919-938o958-977i990-1012o1027-1049i	i(1-104=104) o(126-146=21) i(168-367=200) o(389-409=21) i(431-919=489) o(938-958=21) i(977-990=14) o(1012-1027=16) i(1049-1241=193)	NAT(458)/i NKT(533)/i NFT(822)/i 
O43464	HTRA2_HUMAN Serine protease HTRA2, mitochondrial OS=Homo sapiens GN=HTRA2 PE=1 SV=2	458	i105-124o	i(1-105=105) o(124-458=105)	NGS(181)/o NSS(349)/o 
Q96KJ9	COX42_HUMAN Cytochrome c oxidase subunit 4 isoform 2, mitochondrial OS=Homo sapiens GN=COX4I2 PE=1 SV=2	171	i105-127o	i(1-105=105) o(127-171=105)	NET(89)/i 
Q9NX61	T161A_HUMAN Transmembrane protein 161A OS=Homo sapiens GN=TMEM161A PE=2 SV=1	479	i105-127o137-159i168-187o225-247i268-285o313-330i364-386o450-472i	i(1-105=105) o(127-137=11) i(159-168=10) o(187-225=39) i(247-268=22) o(285-313=29) i(330-364=35) o(386-450=65) i(472-479=8)	NGS(34)/i NCT(387)/o 
Q92952	KCNN1_HUMAN Small conductance calcium-activated potassium channel protein 1 OS=Homo sapiens GN=KCNN1 PE=2 SV=2	543	i106-123o138-160i276-298o313-332i345-367o	i(1-106=106) o(123-138=16) i(160-276=117) o(298-313=16) i(332-345=14) o(367-543=14)	NGS(7)/i 
Q9NPB0	SMDC1_HUMAN SAYSvFN domain-containing protein 1 OS=Homo sapiens GN=SAYSD1 PE=2 SV=1	183	i106-128o	i(1-106=106) o(128-183=106)	NIT(100)/i 
Q13733	AT1A4_HUMAN Sodium/potassium-transporting ATPase subunit alpha-4 OS=Homo sapiens GN=ATP1A4 PE=1 SV=3	1029	i106-128o138-157i298-320o330-352i793-815o858-880i959-976o991-1007i	i(1-106=106) o(128-138=11) i(157-298=142) o(320-330=11) i(352-793=442) o(815-858=44) i(880-959=80) o(976-991=16) i(1007-1029=23)	NSS(223)/i NST(491)/i NDS(726)/i 
Q9BWQ8	LFG2_HUMAN Protein lifeguard 2 OS=Homo sapiens GN=FAIM2 PE=1 SV=1	316	i106-128o138-160i165-187o192-214i226-245o249-271i291-313o	i(1-106=106) o(128-138=11) i(160-165=6) o(187-192=6) i(214-226=13) o(245-249=5) i(271-291=21) o(313-316=21)	NTT(191)/o 
Q96BD0	SO4A1_HUMAN Solute carrier organic anion transporter family member 4A1 OS=Homo sapiens GN=SLCO4A1 PE=1 SV=2	722	i106-128o143-165i172-194o230-252i265-287o307-329i384-406o421-443i579-601o616-638i667-689o	i(1-106=106) o(128-143=16) i(165-172=8) o(194-230=37) i(252-265=14) o(287-307=21) i(329-384=56) o(406-421=16) i(443-579=137) o(601-616=16) i(638-667=30) o(689-722=30)	NLT(499)/i NLS(557)/i 
Q6ZQN7	SO4C1_HUMAN Solute carrier organic anion transporter family member 4C1 OS=Homo sapiens GN=SLCO4C1 PE=1 SV=1	724	i106-128o143-165i174-196o228-250i271-293o313-335i383-405o420-442i577-599o614-636i668-690o	i(1-106=106) o(128-143=16) i(165-174=10) o(196-228=33) i(250-271=22) o(293-313=21) i(335-383=49) o(405-420=16) i(442-577=136) o(599-614=16) i(636-668=33) o(690-724=33)	NVS(69)/i NIS(127)/m NST(214)/o NGT(489)/i NCS(506)/i NCS(544)/i 
Q01814	AT2B2_HUMAN Plasma membrane calcium-transporting ATPase 2 OS=Homo sapiens GN=ATP2B2 PE=1 SV=2	1243	i106-128o148-170i401-423o443-465i878-900o955-973i1025-1047o1062-1084i	i(1-106=106) o(128-148=21) i(170-401=232) o(423-443=21) i(465-878=414) o(900-955=56) i(973-1025=53) o(1047-1062=16) i(1084-1243=160)	NES(16)/i NAS(328)/i NAT(492)/i NKT(567)/i NFS(857)/i NSS(1199)/i NNS(1209)/i NLT(1218)/i 
Q9ULK5	VANG2_HUMAN Vang-like protein 2 OS=Homo sapiens GN=VANGL2 PE=1 SV=2	521	i107-129o144-166i178-200o215-237i	i(1-107=107) o(129-144=16) i(166-178=13) o(200-215=16) i(237-521=285)	NES(56)/i NST(314)/i NNS(317)/i NST(318)/i 
Q9ULQ1	TPC1_HUMAN Two pore calcium channel protein 1 OS=Homo sapiens GN=TPCN1 PE=1 SV=3	816	i108-130o135-157i178-195o232-254i261-283o298-320i443-465o475-497i504-526o570-592i634-653o668-690i	i(1-108=108) o(130-135=6) i(157-178=22) o(195-232=38) i(254-261=8) o(283-298=16) i(320-443=124) o(465-475=11) i(497-504=8) o(526-570=45) i(592-634=43) o(653-668=16) i(690-816=127)	NNT(389)/i NTS(599)/i NHT(611)/i NRT(616)/i NYS(695)/i 
