IPI Accession	Length	TMHMM Topography	Length of the Transmembrane Loop(s)	FirstDomain	LastDomain	FirstDomain.Length	LastDomain.Length	Avg Domain.Out	Avg Domain.In
sp|P04710|ADT1|YEAST	309	i12-34o117-139i180-202o217-239i	i(1-12=12) o(34-117=84) i(139-180=42) o(202-217=16) i(239-309=71)	i(1-12=12)	i(239-309=71)	12	71	50	41
sp|P18239|ADT2|YEAST	318	o126-148|i189-211o226-248i	o(1-126=126) o(211-226=16) i(248-318=71)	o(1-126=126)	i(248-318=71)	126	71	71	71
sp|P18238|ADT3|YEAST	307	i12-34o115-137i178-200o215-237i	i(1-12=12) o(34-115=82) i(137-178=42) o(200-215=16) i(237-307=71)	i(1-12=12)	i(237-307=71)	12	71	49	41
sp|P38090|AGP2|YEAST	596	i93-115o125-147i164-186o201-223i230-252o284-306i327-346o380-402i429-448o458-480i504-526o536-555i	i(1-93=93) o(115-125=11) i(147-164=18) o(186-201=16) i(223-230=8) o(252-284=33) i(306-327=22) o(346-380=35) i(402-429=28) o(448-458=11) i(480-504=25) o(526-536=11) i(555-596=42)	i(1-93=93)	i(555-596=42)	93	42	19	33
sp|B3LRL2|AIM11|YEAS1	137	i20-37o66-88i	i(1-20=20) o(37-66=30) i(88-137=50)	i(1-20=20)	i(88-137=50)	20	50	30	35
sp|C7GRS7|AIM11|YEAS2	138	i17-34o67-89i	i(1-17=17) o(34-67=34) i(89-138=50)	i(1-17=17)	i(89-138=50)	17	50	34	33
sp|A6ZR50|AIM11|YEAS7	137	i20-37o66-88i	i(1-20=20) o(37-66=30) i(88-137=50)	i(1-20=20)	i(88-137=50)	20	50	30	35
sp|C8Z7B2|AIM11|YEAS8	137	i20-37o66-88i	i(1-20=20) o(37-66=30) i(88-137=50)	i(1-20=20)	i(88-137=50)	20	50	30	35
sp|P87275|AIM11|YEAST	137	i20-37o66-88i	i(1-20=20) o(37-66=30) i(88-137=50)	i(1-20=20)	i(88-137=50)	20	50	30	35
sp|P32858|AIM26|YEAST	118	o10-29i41-63o95-117i	o(1-10=10) i(29-41=13) o(63-95=33) i(117-118=2)	o(1-10=10)	i(117-118=2)	10	2	21	7
sp|B3LHB3|AIM6|YEAS1	390	i2-24o	i(1-2=2) o(24-390=367)	i(1-2=2)	o(24-390=367)	2	367	367	2
sp|C7GJQ6|AIM6|YEAS2	390	i2-24o	i(1-2=2) o(24-390=367)	i(1-2=2)	o(24-390=367)	2	367	367	2
sp|B5VF44|AIM6|YEAS6	390	i2-24o	i(1-2=2) o(24-390=367)	i(1-2=2)	o(24-390=367)	2	367	367	2
sp|A6ZX97|AIM6|YEAS7	390	i2-24o	i(1-2=2) o(24-390=367)	i(1-2=2)	o(24-390=367)	2	367	367	2
sp|C8Z6N5|AIM6|YEAS8	390	i2-24o	i(1-2=2) o(24-390=367)	i(1-2=2)	o(24-390=367)	2	367	367	2
sp|Q07716|AIM6|YEAST	390	i2-24o	i(1-2=2) o(24-390=367)	i(1-2=2)	o(24-390=367)	2	367	367	2
sp|P38242|ALG14|YEAST	237	i5-24o	i(1-5=5) o(24-237=214)	i(1-5=5)	o(24-237=214)	5	214	214	5
sp|P38179|ALG3|YEAST	458	o35-57i128-150o170-192i205-227o242-264i303-320o351-370i377-399o419-441i	o(1-35=35) i(57-128=72) o(150-170=21) i(192-205=14) o(227-242=16) i(264-303=40) o(320-351=32) i(370-377=8) o(399-419=21) i(441-458=18)	o(1-35=35)	i(441-458=18)	35	18	25	30
sp|P32629|ANP1|YEAST	500	i21-43o	i(1-21=21) o(43-500=458)	i(1-21=21)	o(43-500=458)	21	458	458	21
sp|Q06497|ANT1|YEAST	328	o73-95i	o(1-73=73) i(95-328=234)	o(1-73=73)	i(95-328=234)	73	234	73	234
sp|P40532|APQ12|YEAST	138	o40-62i69-91o	o(1-40=40) i(62-69=8) o(91-138=48)	o(1-40=40)	o(91-138=48)	40	48	44	8
sp|A6ZQF6|ATG27|YEAS7	271	o199-221i	o(1-199=199) i(221-271=51)	o(1-199=199)	i(221-271=51)	199	51	199	51
sp|P46989|ATG27|YEAST	271	o199-221i	o(1-199=199) i(221-271=51)	o(1-199=199)	i(221-271=51)	199	51	199	51
sp|B3RHM5|ATG33|YEAS1	197	i13-35o55-72i79-101o172-194i	i(1-13=13) o(35-55=21) i(72-79=8) o(101-172=72) i(194-197=4)	i(1-13=13)	i(194-197=4)	13	4	46	8
